finess,zone,A1,A2,A3,A4,A5,A6
590006896,020000063,"         1,4","         3,1","         4,2","        24,7","        20,1","        25,4"
590052056,020000063,"         0,3","         1,6","         4,2","        24,7","        20,1","        25,4"
590780193,020000063,"         1,4","         1,5","         0,1","         1,9","        20,1","        25,4"
590781605,020000063,"         0,5","         1,5","         0,1","         1,9","        20,1","        25,4"
590781621,020000063,"         0,5","         1,4","         0,1","         1,9","        20,1","        25,4"
590781662,020000063,"         0,6","         1,4","         0,1","         1,9","        20,1","        25,4"
590782256,020000063,"         0,9","         1,4","         0,1","         1,9","        20,1","        25,4"
590782298,020000063,"         0,6","         1,4","         0,1","         1,9","        20,1","        25,4"
590788964,020000063,"         0,3","         1,4","         0,1","         1,9","        20,1","        25,4"
590813176,020000063,           2,"         1,4","         0,1","         1,9","        20,1","        25,4"
620000026,020000063,"         0,8","         1,4","         0,1","         1,9","        20,1","        25,4"
800000044,020000063,           6,"        10,1","         2,5","         4,2","         7,9","         4,3"
800000077,020000063,"         2,9","        10,1","         2,5","         4,2","         7,9","         4,3"
800000093,020000063,"         6,7","         3,5",           3,"         4,1","         2,8","         0,4"
800009466,020000063,"         1,1","         3,5",           3,"         4,1","         2,8","         0,4"
800009920,020000063,"         1,9","         2,3",           3,"         4,1","         2,8","         0,4"
800013179,020000063,"         1,1","         2,3",           3,"         4,1","         2,8","         0,4"
800018491,020000063,,"         2,3",           3,"         4,1","         2,8","         0,4"
940000664,020000063,"         0,7","         2,3",           3,"         4,1","         2,8","         0,4"
020000063,020000071,"         4,7","         5,7","         8,3","         4,1","         2,8","         0,4"
020000071,020000071,"         2,5","         0,5",,,"         2,4",
020000253,020000071,"        45,9","        42,9","        26,3",,"         2,4",
020000261,020000071,"         1,8","        42,9","        26,3",,"         2,4",
020000287,020000071,"         2,7","         2,3","        26,3",,"         2,4",
020000360,020000071,"         1,2","         1,6","         1,5",,"         2,4",
020004495,020000071,"         6,2","         4,2","         1,5",,"         2,4",
020010047,020000071,"         2,4","         4,2","         1,5",,"         2,4",
510000029,020000071,"         7,9","         8,4","         8,8",,"         2,4",
510000185,020000071,"         4,6","         7,9","        10,3",,"         2,4",
510000193,020000071,"         2,6","         5,4","        10,3",,"         2,4",
510000516,020000071,"         7,4","         5,4","        10,3",,"         2,4",
510012040,020000071,"         2,7","         1,6","        10,3",,"         2,4",
590006896,020000071,"         4,3","         4,1","         4,5",,"         2,4",
590781662,020000071,"         2,8","         1,7","         4,5",,"         2,4",
800000044,020000071,"         2,5","         1,8","         4,5",,"         2,4",
020000063,020000253,"         4,3","         5,2","         2,4","         8,5",           7,"         7,5"
020000071,020000253,"         2,6","         1,8","         2,4","         8,5",           7,"         7,5"
020000253,020000253,"        52,1","        42,2","        75,2","        39,6","        37,1","        24,7"
020000261,020000253,           2,"         3,4","         7,7","         0,6","         0,7","        24,7"
020000287,020000253,"         3,3","         2,4","         1,2","         1,9",           2,"        24,7"
020000360,020000253,"         1,4",           2,"         9,1","         3,6",           2,"        24,7"
020004404,020000253,"         0,1",           2,"         9,1","         3,6",           2,"        24,7"
020004495,020000253,"         2,8",           2,"         9,1","         3,6",           2,"        24,7"
020010047,020000253,"         1,8","         1,4","         1,8","         1,4","         1,4","        24,7"
510000029,020000253,           9,"         8,8","         3,6","         3,4","         9,9",          13
510000185,020000253,"         5,7","         9,6","         3,4","        10,2",          13,"        30,4"
510000193,020000253,"         3,3","         6,7","         2,6",           7,"         1,7","        30,4"
510000516,020000253,"         1,5","         2,1",           1,"         8,9","        11,7","        30,4"
510012040,020000253,"         0,8","         3,3","         9,6","         1,4","         1,9","        30,4"
590006896,020000253,"         2,7","         2,7","         9,6","         1,4","         1,9","        30,4"
590780227,020000253,"         0,1","         2,7","         9,6","         1,4","         1,9","        30,4"
590782215,020000253,"         0,3","         2,7","         9,6","         1,4","         1,9","        30,4"
590788964,020000253,"         2,1","         2,7","         9,6","         1,4","         1,9","        30,4"
620103432,020000253,,"         2,7","         9,6","         1,4","         1,9","        30,4"
800000044,020000253,"         2,1","         0,2","         1,5","         1,8","         1,9","        30,4"
020000048,020000261,"         0,5","         0,2","         1,5","         1,8","         1,9","        30,4"
020000063,020000261,           1,"         0,2","         1,2","         0,4","         1,9","        30,4"
020000253,020000261,"         0,8","         2,7","         1,2","         0,4","         1,9","        30,4"
020000261,020000261,          59,"        43,4","        85,9","        25,6","        48,8","        53,8"
020000287,020000261,           1,"         1,5","         0,2","         0,5","         0,6","        53,8"
020000360,020000261,"         8,7","        14,3","        41,7","        17,8","         0,6","        53,8"
020004404,020000261,"         6,1","         3,8","         0,2","         2,5","         0,6","        53,8"
510000029,020000261,"         7,5","         9,2","         2,1",           3,"         8,3","         9,3"
510000185,020000261,"         3,4","         6,2","         2,1","         4,9",           6,"        19,8"
510000193,020000261,           1,"         3,3","         0,6","         4,4","         1,7","        19,8"
510000516,020000261,           1,"         0,3","         2,5","         4,9","         1,7","        19,8"
510012040,020000261,"         0,5","         2,1","         6,7","         0,9","         1,7","        19,8"
600100721,020000261,"         2,6","         0,7","         1,4","         0,5","         1,6","         1,3"
600100754,020000261,"         0,7","         2,1","         1,3","         2,5","         1,1","         1,3"
750100109,020000261,,"         2,1","         1,3","         2,5","         1,1","         1,3"
750100125,020000261,"         0,6","         2,1","         1,3","         2,5","         1,1","         1,3"
750100208,020000261,"         0,1","         2,1","         1,3","         2,5","         1,1","         1,3"
750160012,020000261,           1,"         2,1","         1,3","         2,5","         1,1","         1,3"
770700185,020000261,"         0,1","         2,1","         1,3","         2,5","         1,1","         1,3"
800000044,020000261,           1,"         0,8","         1,3","         2,5","         1,1","         1,3"
940000664,020000261,"         0,8","         0,5","         1,3","         2,5","         1,1","         1,3"
020000048,020000287,"        13,1","         2,7","         1,3","         2,5","         1,1","         1,3"
020000063,020000287,"        13,6","        22,3","         5,2","        14,1","        21,2","        29,6"
020000253,020000287,"         2,2","         2,7","         2,2","         1,4","         2,7","        29,6"
020000261,020000287,"         2,6","         1,9","         4,3",           1,"         2,9","         0,9"
020000287,020000287,"        51,6","        30,3","        58,1","        36,4","        33,8","        16,6"
020000360,020000287,"         0,8","         2,7","         9,2","         2,3","        33,8","        16,6"
020010047,020000287,"         3,4","        12,2","         4,3","         8,8","         7,5",          13
510000029,020000287,"         1,7","         2,6","         0,4","         0,7","         3,5",          13
