finess,zone,A1,A2,A3,A4,A5,A6
590781662,020000063,"         0,3","         1,7","         0,3","         1,9","        20,7","        14,4"
590782256,020000063,"         0,5","         1,7","         0,3","         1,9","        20,7","        14,4"
590782298,020000063,           1,"         1,7","         0,3","         1,9","        20,7","        14,4"
590788964,020000063,"         0,4","         1,7","         0,3","         1,9","        20,7","        14,4"
590813176,020000063,"         1,8","         1,7","         0,3","         1,9","        20,7","        14,4"
620000026,020000063,"         0,9","         1,7","         0,3","         1,9","        20,7","        14,4"
800000044,020000063,"         5,9","        10,3","         2,3","         4,1","         8,4","         5,9"
800000077,020000063,"         2,7","        10,3","         2,3","         4,1","         8,4","         5,9"
800000093,020000063,"         7,4","         3,1","         2,7","         3,7","         2,4","         0,5"
800009466,020000063,           1,"         3,1","         2,7","         3,7","         2,4","         0,5"
800009920,020000063,"         1,5","         2,2","         2,7","         3,7","         2,4","         0,5"
800013179,020000063,"         1,9","         2,2","         2,7","         3,7","         2,4","         0,5"
800018491,020000063,"         1,1","         2,2","         2,7","         3,7","         2,4","         0,5"
940000664,020000063,           1,"         2,2","         2,7","         3,7","         2,4","         0,5"
020000063,020000071,"         5,3","         5,8","         7,6","         3,7","         2,4","         0,5"
020000071,020000071,"         2,8","         0,6",,,"         2,8",
020000253,020000071,"        43,9","        42,7","        21,9",,"         2,8",
020000261,020000071,"         2,1","        42,7","        21,9",,"         2,8",
020000287,020000071,"         2,7","         2,5","        21,9",,"         2,8",
020000360,020000071,"         1,3","         1,3","         2,7",,"         2,8",
020004495,020000071,"         6,8","         5,7","         2,7",,"         2,8",
020010047,020000071,"         2,5","         5,7","         2,7",,"         2,8",
510000029,020000071,"         7,9","         8,2","        11,8",,"         2,8",
510000185,020000071,"         4,8","         8,1","         9,6",,"         2,8",
510000193,020000071,"         2,4","         5,4","         9,6",,"         2,8",
510000516,020000071,"         8,7","         5,4","         9,6",,"         2,8",
510012040,020000071,"         2,9",           2,"         9,6",,"         2,8",
590006896,020000071,"         3,1",           4,"         5,6",,"         2,8",
590781662,020000071,"         2,8","         1,5","         5,6",,"         2,8",
800000044,020000071,"         2,6","         2,7","         5,6",,"         2,8",
020000063,020000253,"         4,6",           5,"         2,4","         8,5","         7,3","        11,2"
020000071,020000253,"         2,8",           2,"         2,4","         8,5","         7,3","        11,2"
020000253,020000253,"        49,9","        42,3","        76,6","        37,7","        32,2","        25,6"
020000261,020000253,"         2,3","         2,7","         6,7","         0,8","         0,4","        25,6"
020000287,020000253,"         3,3","         1,8",           1,"         2,3",           3,"        25,6"
020000360,020000253,"         1,6","         2,2","        10,1","         4,4",           3,"        25,6"
020004404,020000253,,"         2,2","        10,1","         4,4",           3,"        25,6"
020004495,020000253,           3,"         2,2","        10,1","         4,4",           3,"        25,6"
020010047,020000253,"         1,9","         1,1","         1,7",           1,"         1,3","        25,6"
510000029,020000253,"         9,2","         9,4","         2,6","         4,1","        11,7",          10
510000185,020000253,"         5,8","        10,1","         3,5","        13,5","        12,8","        29,5"
510000193,020000253,           3,           6,"         3,3",           8,"         1,7","        29,5"
510000516,020000253,"         2,2","         1,9",           1,"         9,8","        11,3","        29,5"
510012040,020000253,"         1,1","         3,5","         6,5","         2,1","         1,3","        29,5"
590006896,020000253,"         2,7","         2,4","         6,5","         2,1","         1,3","        29,5"
590780227,020000253,,"         2,4","         6,5","         2,1","         1,3","        29,5"
590782215,020000253,"         0,3","         2,4","         6,5","         2,1","         1,3","        29,5"
590788964,020000253,"         3,1","         2,4","         6,5","         2,1","         1,3","        29,5"
620103432,020000253,,"         2,4","         6,5","         2,1","         1,3","        29,5"
800000044,020000253,"         2,4","         0,3","         2,4","         1,3","         1,3","        29,5"
020000048,020000261,"         0,5","         0,3","         2,4","         1,3","         1,3","        29,5"
020000063,020000261,           1,"         0,1","         1,4","         0,1","         1,3","        29,5"
020000253,020000261,           1,"         3,1","         1,4","         0,1","         1,3","        29,5"
020000261,020000261,"        59,9","        43,1","        85,5","        26,3","        49,3","        63,4"
020000287,020000261,"         0,8","         1,4","         0,4","         0,7","         1,6","        63,4"
020000360,020000261,"         7,5","        13,4",          40,"        15,8","         1,6","        63,4"
020004404,020000261,"         6,3","         2,9","         0,4","         3,1","         1,6","        63,4"
510000029,020000261,"         7,8","         9,5","         1,7","         3,2","         7,8","         7,5"
510000185,020000261,"         3,5","         7,4","         2,6",           5,           8,"        15,4"
510000193,020000261,"         1,1","         3,3","         1,3","         3,8","         1,8","        15,4"
510000516,020000261,           1,"         0,3","         3,3","         5,6","         1,8","        15,4"
510012040,020000261,"         0,8","         2,3","         6,6","         0,9","         1,8","        15,4"
600100721,020000261,"         2,5","         0,5","         0,6","         0,6","         1,8","         0,6"
600100754,020000261,"         0,6","         2,9","         1,6","         2,9","         0,9","         1,3"
750100109,020000261,           0,"         2,9","         1,6","         2,9","         0,9","         1,3"
750100125,020000261,"         0,3","         2,9","         1,6","         2,9","         0,9","         1,3"
750100208,020000261,"         0,3","         2,9","         1,6","         2,9","         0,9","         1,3"
750160012,020000261,"         1,1","         2,9","         1,6","         2,9","         0,9","         1,3"
770700185,020000261,"         0,1","         2,9","         1,6","         2,9","         0,9","         1,3"
800000044,020000261,"         0,8","         0,5","         1,6","         2,9","         0,9","         1,3"
940000664,020000261,"         0,3","         0,1","         1,6","         2,9","         0,9","         1,3"
020000048,020000287,          17,"         3,1","         1,6","         2,9","         0,9","         1,3"
020000063,020000287,"        14,5","        22,3","         6,5","        14,2","        16,9","        30,6"
020000253,020000287,           2,"         3,3","         3,3","         1,4","         2,7","        30,6"
020000261,020000287,"         3,1",           2,"         3,3",           1,"         3,2","         2,6"
020000287,020000287,"        43,9","        26,3","        55,9","        33,7","        34,2","        17,1"
020000360,020000287,"         1,1","         3,8","         8,5","         2,1","        34,2","        17,1"
020010047,020000287,"         4,7","        13,8","         4,1","        10,8","         8,6","         7,8"
510000029,020000287,"         1,7","         2,6","         0,1","         0,7","         3,4","         7,8"
510000185,020000287,"         0,8","         1,5","         2,9","         6,7","         3,4","         7,8"
510000193,020000287,"         1,1","         0,5","         2,9","         6,7","         3,4","         7,8"
510000516,020000287,"         0,7","         0,8","         3,9","         4,9","         3,4","         7,8"
600100721,020000287,"         0,7","        17,1","        13,7","         2,9","         7,5","         7,8"
600100754,020000287,"         4,8","         5,3","         1,2","         2,8","         7,5","         7,8"
600101984,020000287,"         0,2","         5,3","         1,2","         2,8","         7,5","         7,8"
750100042,020000287,"         0,1","         5,3","         1,2","         2,8","         7,5","         7,8"
800000044,020000287,"         3,3","         8,5",           2,"         3,1","         6,4","         5,6"
800009920,020000287,"         0,3","         1,4",           2,"         3,1","         6,4","         5,6"
800013179,020000287,"         2,6","         1,4",           2,"         3,1","         6,4","         5,6"
920000684,020000287,"         1,1","         1,4",           2,"         3,1","         6,4","         5,6"
940100068,020000287,"         0,2","         1,4",           2,"         3,1","         6,4","         5,6"
020000048,020000360,"         0,8","         1,4",           2,"         3,1","         6,4","         5,6"
020000063,020000360,"         1,1",           4,"         5,5","         1,9","         6,4","         5,6"
020000253,020000360,"        20,1","         2,2","         4,1","        10,5","         6,4","         5,6"
020000261,020000360,"        41,8","        26,7","        12,8",          33,"         6,4","         5,6"
020000287,020000360,"         2,4","         5,3","        11,9","         1,4","         6,4","         5,6"
020000360,020000360,"         6,2","        10,4",,"        24,8","        12,9",
020004404,020000360,"         2,9",           9,"         7,3","         1,8","        12,9",
020010047,020000360,"         2,1","         3,5","         7,3","         1,8","        12,9",
510000029,020000360,"         7,2","         9,4",           3,"         9,3","        12,9",
510000185,020000360,           4,           7,"         5,3","         9,6","        12,9",
510000193,020000360,"         1,3","         3,2","         3,5","         1,7","        12,9",
510000516,020000360,"         1,4","         6,2","         3,5","         1,7","        12,9",
510012040,020000360,"         2,5","         7,5","         1,3","         1,7","        12,9",
600100721,020000360,"         1,7","         7,5","         1,3","         1,7","        12,9",
600100754,020000360,"         1,7","         7,5","         1,3","         1,7","        12,9",
800000044,020000360,           2,"         0,8","         1,3","         1,7","        12,9",
020000063,020004404,"        10,4","         0,8","         1,3","         1,7","        12,9",
020000253,020004404,"         0,1","         0,8","         1,3","         1,7","        12,9",
020000261,020004404,"         5,5","         4,6","         9,1","         4,1","         7,1","        34,1"
020000287,020004404,"         8,7","         4,6","         9,1","         4,1","         7,1","        34,1"
020000360,020004404,"         0,7","         5,3","        11,4","         1,9","         7,1","        34,1"
020004404,020004404,"        59,3","        34,1","        67,2","        34,2","        27,7","         0,3"
020010047,020004404,"         3,6","        34,1","        67,2","        34,2","        27,7","         0,3"
510000029,020004404,"        10,4","        13,1",           5,           5,"        18,3","         7,7"
510000185,020004404,"         3,9","        10,7","         4,6","         6,3","        10,4","        17,7"
510000193,020004404,           1,"         4,3","         1,4","         4,3","         2,1","        17,7"
510000243,020004404,"         0,1","         1,6","         0,2","         4,3","         2,1","        17,7"
510000516,020004404,"         2,2","         1,9","         1,4","        13,2","        10,3","        17,7"
510012040,020004404,"         5,2","         4,8",          19,"         4,8","        10,3","        17,7"
510024300,020004404,"         1,5","         4,8",          19,"         4,8","        10,3","        17,7"
600100721,020004404,"         1,6","         4,8",          19,"         4,8","        10,3","        17,7"
750100075,020004404,"         0,3","         4,8",          19,"         4,8","        10,3","        17,7"
750100125,020004404,           1,"         1,5","         0,2","         0,3","        10,3","        17,7"
750160012,020004404,"         1,2","         1,5","         0,2","         0,3","        10,3","        17,7"
750300360,020004404,"         0,5","         0,4","         0,2","         0,3","        10,3","        17,7"
770110013,020004404,"         2,1","         0,4","         0,2","         0,3","        10,3","        17,7"
770170017,020004404,"         0,4","         0,4","         0,2","         0,3","        10,3","        17,7"
770700185,020004404,"         1,1","         1,6","         4,7","         1,4","         1,4","        17,7"
770813400,020004404,"         1,1","         1,3","         4,7","         1,4","         1,4","        17,7"
920300753,020004404,"         0,8","         1,3","         4,7","         1,4","         1,4","        17,7"
940000664,020004404,"         1,7","         1,3","         4,7","         1,4","         1,4","        17,7"
940100068,020004404,"         0,3","         1,3","         4,7","         1,4","         1,4","        17,7"
940300031,020004404,"         1,2","         1,3","         4,7","         1,4","         1,4","        17,7"
020000063,020004495,"         7,1","         6,2","         0,3","         7,2","         3,8","        17,7"
020000071,020004495,"         2,6","         6,2","         0,3","         7,2","         3,8","        17,7"
020000253,020004495,"         9,1","         5,4","        12,2","         7,8",           3,"        17,7"
